retweet_count,user_screen_name,user_followers_count,user_location,hashtags,text
0,TheStatesmanLtd,11967,"New Delhi, Delhi","{'LokSabhaElections2019', 'BJP'}","A group of residents, including two dozen women, also met a local #BJP leader and explained their problems to him but he did not pay any heed to the issue. #LokSabhaElections2019
https://t.co/MYDDT4gMZ5"
162,haroonsheikh786,940,,"{'ChowkidarChorHai', 'TimesNow', 'BJP'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
0,mrityunjaybose,2148,"Mumbai,  India","{'Goa', 'BJP'}",#BJP leader Pramod Sawant has emerged as frontrunner for post of #Goa CM to succeed @manoharparrikar @DeccanHerald
4,LalchandPurohit,2302,"Rajasthan, India","{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}",who will win LokSabha 2019? #bjp #congress #aap #bsp #india #news #sports #RIPManoharParrikar
162,INDIADefeatmodi,542,Chennai,"{'ChowkidarChorHai', 'TimesNow', 'BJP'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
3,surajrenucomm,24,India,"{'india', 'BJP', 'with', 'BJPVijaySankalpBikeRally', 'bhajpa', 'NamoAgain', 'National_Spokesperson', 'BJP4India', 'YuvaWantsModi', 'KahoDilSeModiPhirSe', 'AbkiBaarPhirModiSarkar', 'BJYM'}","#with Sh.@PremShuklaBJP ji #National_Spokesperson #BJP #india ✌️
#BJP4India #NamoAgain #KahoDilSeModiPhirSe
#BJYM #YuvaWantsModi
#AbkiBaarPhirModiSarkar #BJPVijaySankalpBikeRally #bhajpa 
@BJP4India @BJYM @poonam_mahajan @PremShuklaBJP @bjptarunchugh @vineetjoshi @narendramodi https://t.co/1AsTTm4Tuv"
0,khushal25456075,4,IN MY HOME,{'BJP'},"#BJP 
get set ready"
0,iamreyaj_001,22, India,{'BJP'},@its_girliyapa It's mistakenly mentioned u have included four persons for various things here only one party is capable to get credit for all and that party is none other than #BJP
25,LOTUS_________,222,India,"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
54,baldeep61423140,0,,"{'NarendraModi', 'election'}","“The appointment of Lokpal ahead of the #election is an attempt to mislead people by claiming that they [#BJP] had done all they had promised. Prime Minister #NarendraModi should answer why he had not done it in the last four years."" https://t.co/yBPlSwKoPV"
4,activator_n,7639,🇮🇳INDIA🇮🇳,"{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}",who will win LokSabha 2019? #bjp #congress #aap #bsp #india #news #sports #RIPManoharParrikar
0,ImPrajyotMishra,44508,"Bengaluru, India","{'BJP', 'Kashmiri', 'Modi', 'Mayawati', 'Varanasi', 'Congress', 'Mindtree', 'SubrotoBagchi'}","News Recap:
- #Mayawati Snubs #Congress Over Its 7-seat Offer, Says Alliance Can Defeat #BJP
- #Mindtree Co-founder #SubrotoBagchi Quits Govt Post to Save Comp from L&amp;T's 'Hostile Takeover'
- #Kashmiri who Ran Poll Boycott Campaign in 2014 Looking for #Varanasi Ticket Agnst #Modi"
0,redpixnews,2437,"Chennai,INDIA","{'thamilnews', 'BJP', 'DMK', 'MKStalin', 'thamizhazhithangapandiyan', 'hraja', 'dmkcandidates'}","#thamilnews DMK candidate thamizhachi thangapandian takes on H Raja of BJP Tamil news live #thamizhazhithangapandiyan #dmkcandidates #hraja #BJP #DMK #MKStalin 

https://t.co/hygKle9zPb

@HRajaBJP @mkstalin @arivalayam @BJP4TamilNadu @BJP4India @thamizhachith https://t.co/X0IElx24Uq"
