haroonsheikh786,"{'LokSabhaElections2019', 'BJP'}"
mrityunjaybose,"{'ChowkidarChorHai', 'TimesNow', 'BJP'}"
LalchandPurohit,"{'Goa', 'BJP'}"
INDIADefeatmodi,"{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}"
surajrenucomm,"{'ChowkidarChorHai', 'TimesNow', 'BJP'}"
khushal25456075,"{'india', 'BJP', 'with', 'BJPVijaySankalpBikeRally', 'bhajpa', 'NamoAgain', 'National_Spokesperson', 'BJP4India', 'YuvaWantsModi', 'KahoDilSeModiPhirSe', 'AbkiBaarPhirModiSarkar', 'BJYM'}"
iamreyaj_001,{'BJP'}
LOTUS_________,{'BJP'}
baldeep61423140,"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}"
activator_n,"{'NarendraModi', 'election'}"
ImPrajyotMishra,"{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}"
redpixnews,"{'BJP', 'Kashmiri', 'Modi', 'Mayawati', 'Varanasi', 'Congress', 'Mindtree', 'SubrotoBagchi'}"
surajrenucomm,"{'thamilnews', 'BJP', 'DMK', 'MKStalin', 'thamizhazhithangapandiyan', 'hraja', 'dmkcandidates'}"
KrishPk8,"{'bjp', 'MainBhiChowkidar', 'PadmaAwards', 'Abhinandan', 'BJPVijaySankalpBikeRally', 'PhirEkBaarModiSarkar', 'IndiaUnited', 'PresidentKovind', 'PMNarendraModi', 'WhyModiAgain'}"
JenaSeetal,"{'SanchiBaat', 'MeinBhiChowkidar'}"
ptdeeppandya,"{'NewOdisha', 'BJP'}"
3rd_Handle,"{'RakshaMantri', 'BJP', 'ManoharParrikar', 'Karyakarta'}"
sangeeta_kalyan,"{'NarendraModi', 'election'}"
donotreply2384,"{'PriyankaGandhi', 'Goa', 'BJP', 'ManoharParrikar'}"
mukki008,"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}"
alamdar1961,"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}"
S_k_chaudhary,"{'ChowkidarChorHai', 'TimesNow', 'BJP'}"
DN_Chary,"{'BJP', 'Jumla', 'CheatIndia', 'Chowkidar', 'petrol', 'ElectionCommission'}"
iJaydipRathod,{'BJp'}
ranganaathan,"{'RakshaMantri', 'BJP', 'ManoharParrikar', 'Karyakarta'}"
kalyugyaar,"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}"
GirjeshJadoun1,"{'LokSabhaElections2019', 'BJP'}"
TOICitiesNews,"{'युवाओं', 'BJP', 'BattleOf2019', 'secret', 'CourtCase', '69000_शिक्षक_भर्ती', 'शिक्षामित्रों', 'ये_ज्ञान_अनमोल_है', '12460_शून्य_जनपद', 'ये_पब्लिक_है_ये_सब_जानती_है', '68500_शिक्षक_भर्ती', 'ये_कैसा_रोजगार'}"
nancy_viji,"{'ArunachalPradesh', 'BJP', 'JarpumGamlin'}"
polticalquest,"{'AIADMKAlliance', 'AMMK', 'Elections2019', 'DMDK', 'DMKAlliance', 'BJP', 'ELECTIONBREAKING', 'INC', 'MakkalNeedhiMaiam', 'AAP', 'TamilNadu', 'TNelections2019'}"
manojku08896988,"{'RajivGandhi', 'BJP', 'IndiraGandhi', 'ManoharParrikar', 'RIPParrikar', 'RIP', 'ModiGovt'}"
vikavi_k,"{'dirtypolitics', 'MainBhiChowkidar', 'BJP', 'eletion', 'MainBhiBerozgar', 'jagoIndiajago'}"
Dheerendra4Raj,"{'ChowkidarChorHai', 'BJP', 'NarendraModi', 'KiaHuwaTeriWada'}"
NEWS9TWEETS,"{'bjp', 'ChowkidarPhirSe', 'Congress'}"
surajrenucomm,"{'PavanSawant', 'Goa', 'BIGNEWS:', 'BJP'}"
thehansindiaweb,"{'bjp', 'prideofindianarendramodi', 'BJPVijaySankalpBikeRally', 'NamoAgain', 'BJP4India'}"
TheStatesmanLtd,"{'Panaji', 'Goa', 'BJP'}"
haroonsheikh786,"{'BJP', 'LokSabhaElections2019'}"
mrityunjaybose,"{'BJP', 'TimesNow', 'ChowkidarChorHai'}"
LalchandPurohit,"{'BJP', 'Goa'}"
INDIADefeatmodi,"{'congress', 'aap', 'india', 'news', 'sports', 'RIPManoharParrikar', 'bsp', 'bjp'}"
surajrenucomm,"{'BJP', 'TimesNow', 'ChowkidarChorHai'}"
khushal25456075,"{'BJYM', 'National_Spokesperson', 'with', 'BJP', 'india', 'BJPVijaySankalpBikeRally', 'bhajpa', 'BJP4India', 'YuvaWantsModi', 'AbkiBaarPhirModiSarkar', 'NamoAgain', 'KahoDilSeModiPhirSe'}"
iamreyaj_001,{'BJP'}
LOTUS_________,{'BJP'}
baldeep61423140,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}"
activator_n,"{'NarendraModi', 'election'}"
ImPrajyotMishra,"{'congress', 'aap', 'india', 'news', 'sports', 'RIPManoharParrikar', 'bsp', 'bjp'}"
redpixnews,"{'Congress', 'Mindtree', 'Varanasi', 'Kashmiri', 'BJP', 'SubrotoBagchi', 'Mayawati', 'Modi'}"
